Times CreateTxGen,Times VerifyTx,Times TxResponse
0.008904695510864258,"0.0015649795532226562,0.0010938644409179688","0.00710606575012207,0.00665283203125"
0.0067331790924072266,,
0.006641387939453125,"0.001367807388305664,0.0015952587127685547","0.006698131561279297,0.006661653518676758"
0.006627082824707031,"0.0028066635131835938,0.001455545425415039","0.014762639999389648,0.0065958499908447266"
0.015076160430908203,"0.00141143798828125,0.0014700889587402344","0.006626129150390625,0.0068590641021728516"
0.0066680908203125,"0.0012271404266357422,0.0011363029479980469","0.0065555572509765625,0.017131328582763672"
0.006985187530517578,"0.0012698173522949219,0.0010929107666015625","0.00669407844543457,0.011416196823120117"
0.006726741790771484,"0.0013117790222167969,0.0011451244354248047","0.006520986557006836,0.01492762565612793"
0.006692409515380859,"0.0011763572692871094,0.001359701156616211","0.0065326690673828125,0.006534099578857422"
0.006594419479370117,"0.0013165473937988281,0.0014204978942871094","0.015018701553344727,0.0066716670989990234"
0.015513896942138672,"0.0029020309448242188,0.0011868476867675781","0.015131473541259766,0.006676673889160156"
0.0067653656005859375,"0.002785205841064453,0.0012493133544921875","0.014899253845214844,0.006618022918701172"
0.006890535354614258,"0.0013158321380615234,0.0011501312255859375","0.006531953811645508,0.0065920352935791016"
0.006670951843261719,"0.0011625289916992188,0.0014445781707763672","0.006567955017089844,0.006543636322021484"
0.009926795959472656,"0.0014061927795410156,0.0013470649719238281","0.006532907485961914,0.006603717803955078"
0.006643056869506836,0.0012745857238769531,0.006590366363525391
0.006651163101196289,"0.0014524459838867188,0.0013549327850341797","0.006464481353759766,0.006647348403930664"
0.015054464340209961,"0.002830028533935547,0.0014662742614746094","0.006857633590698242,0.0066111087799072266"
0.0066416263580322266,"0.0011785030364990234,0.0014638900756835938","0.0066568851470947266,0.006544589996337891"
0.006848335266113281,"0.0014164447784423828,0.0012083053588867188","0.006621360778808594,0.006584644317626953"
0.006633758544921875,"0.001386880874633789,0.0012209415435791016","0.006602287292480469,0.006501674652099609"
0.006598472595214844,"0.0029172897338867188,0.001455545425415039","0.0068552494049072266,0.006777524948120117"
0.014850616455078125,"0.0026738643646240234,0.0013806819915771484","0.006541013717651367,0.0066356658935546875"
0.006604671478271484,0.0014309883117675781,0.006545066833496094
0.006645917892456055,"0.0011639595031738281,0.0010919570922851562","0.006500244140625,0.0065991878509521484"
0.006623029708862305,"0.001310110092163086,0.0013530254364013672","0.007387876510620117,0.006673336029052734"
0.015086174011230469,"0.0026895999908447266,0.0010845661163330078","0.014914274215698242,0.01524209976196289"
0.0066814422607421875,0.0012662410736083984,0.006657600402832031
0.01594257354736328,"0.0014553070068359375,0.0028448104858398438","0.006630659103393555,0.006613731384277344"
0.0068416595458984375,0.0014252662658691406,0.01621389389038086
0.0066986083984375,"0.0013873577117919922,0.0014374256134033203","0.011459589004516602,0.015026092529296875"
0.006701469421386719,0.00299072265625,0.006615638732910156
0.006711244583129883,"0.0012595653533935547,0.0011086463928222656","0.00647735595703125,0.014873266220092773"
0.009852170944213867,"0.0016875267028808594,0.0014681816101074219","0.007700920104980469,0.013305187225341797"
0.006665229797363281,"0.001264810562133789,0.0014374256134033203","0.007554292678833008,0.006907939910888672"
