Interacción,Times CreateTxGen,Times VerifyTx,Times TxResponse,VerifyTx_1,VerifyTx_2,TxResponse_1,TxResponse_2
73,0.015008211,"0.002641916275024414,0.0013611316680908203","0.006550312042236328,0.014791727066040039",0.002641916,0.001361132,0.006550312,0.014791727
74,0.006578684,"0.002759218215942383,0.0013458728790283203","0.014972448348999023,0.015104532241821289",0.002759218,0.001345873,0.014972448,0.015104532
75,0.006719828,0.00144887,0.014884472,0.00144887,,0.014884472,
76,0.00661397,0.001278639,0.006751299,0.001278639,,0.006751299,
77,0.012645721,0.001378536,0.006760836,0.001378536,,0.006760836,
78,0.014904499,"0.0026438236236572266,0.002702951431274414","0.014780282974243164,0.014932394027709961",0.002643824,0.002702951,0.014780283,0.014932394
79,0.015184402,"0.0027780532836914062,0.002834796905517578","0.014943122863769531,0.015165090560913086",0.002778053,0.002834797,0.014943123,0.015165091
80,0.015124321,"0.0028228759765625,0.0026161670684814453","0.014923810958862305,0.015035867691040039",0.002822876,0.002616167,0.014923811,0.015035868
81,0.017200947,"0.002682924270629883,0.002833843231201172","0.01481318473815918,0.01495361328125",0.002682924,0.002833843,0.014813185,0.014953613
82,0.015185833,0.002735376,0.014922142,0.002735376,,0.014922142,
83,0.015653372,0.002719402,0.015226126,0.002719402,,0.015226126,
84,0.01503849,0.002770185,0.015062571,0.002770185,,0.015062571,
85,0.015077591,"0.0027189254760742188,0.0028581619262695312","0.014917612075805664,0.014986753463745117",0.002718925,0.002858162,0.014917612,0.014986753
86,0.013671398,"0.002521038055419922,0.0025773048400878906","0.014880180358886719,0.014987707138061523",0.002521038,0.002577305,0.01488018,0.014987707
87,0.015106916,"0.0026330947875976562,0.0028166770935058594","0.015077352523803711,0.015003204345703125",0.002633095,0.002816677,0.015077353,0.015003204
88,0.006688833,"0.0013303756713867188,0.0024619102478027344","0.014897584915161133,0.014754056930541992",0.001330376,0.00246191,0.014897585,0.014754057
89,0.015060663,"0.002916574478149414,0.0026464462280273438","0.015108346939086914,0.014964580535888672",0.002916574,0.002646446,0.015108347,0.014964581
90,0.014869213,0.002989054,0.014961243,0.002989054,,0.014961243,
91,0.014977217,"0.0027551651000976562,0.002838611602783203","0.01482844352722168,0.013188600540161133",0.002755165,0.002838612,0.014828444,0.013188601
92,0.015168667,0.002926588,0.015130281,0.002926588,,0.015130281,
93,0.017089844,0.002748966,0.015223026,0.002748966,,0.015223026,
94,0.015074253,,,,,,
95,0.015068769,"0.002872467041015625,0.002892732620239258","0.01483607292175293,0.014868497848510742",0.002872467,0.002892733,0.014836073,0.014868498
96,0.014997959,0.002395391,0.015043259,0.002395391,,0.015043259,
97,0.015088081,"0.0028357505798339844,0.0028581619262695312","0.014819622039794922,0.006617307662963867",0.002835751,0.002858162,0.014819622,0.006617308
98,0.015160084,0.002188921,0.014452457,0.002188921,,0.014452457,
99,0.014904261,"0.0028934478759765625,0.002637147903442383","0.014855146408081055,0.015022516250610352",0.002893448,0.002637148,0.014855146,0.015022516
100,0.015025854,"0.002841472625732422,0.002630472183227539","0.014793157577514648,0.01460123062133789",0.002841473,0.002630472,0.014793158,0.014601231
