Times CreateTxGen,Times VerifyTx,Times TxResponse
0.009157180786132812,"0.0015175342559814453,0.0026657581329345703","0.015758037567138672,0.014968395233154297"
0.006711721420288086,"0.001268625259399414,0.001352548599243164","0.006787300109863281,0.006676673889160156"
0.006699800491333008,"0.0014448165893554688,0.0013470649719238281","0.014072418212890625,0.006562709808349609"
0.0066149234771728516,"0.0014805793762207031,0.0013766288757324219","0.006521940231323242,0.0065038204193115234"
0.006683826446533203,0.0014336109161376953,0.0065081119537353516
0.015038251876831055,"0.0026807785034179688,0.0029556751251220703","0.006733417510986328,0.006516456604003906"
0.006554841995239258,"0.002761363983154297,0.0012464523315429688","0.01487874984741211,0.015027999877929688"
0.006703853607177734,0.0014483928680419922,0.006606101989746094
0.006609678268432617,"0.0013604164123535156,0.001245260238647461","0.006556987762451172,0.006506919860839844"
0.014603376388549805,"0.0023839473724365234,0.0013663768768310547","0.006529331207275391,0.0066394805908203125"
0.006765842437744141,"0.0013127326965332031,0.002735614776611328","0.014759302139282227,0.006453275680541992"
0.006651639938354492,"0.0027387142181396484,0.002741575241088867","0.006506443023681641,0.015070199966430664"
0.006701231002807617,0.0012629032135009766,0.014913558959960938
0.015098333358764648,"0.0028121471405029297,0.0028705596923828125","0.006552457809448242,0.0065593719482421875"
0.014950037002563477,0.0028390884399414062,0.006533145904541016
0.006676673889160156,"0.0013163089752197266,0.0012712478637695312","0.014826297760009766,0.014728546142578125"
0.006727695465087891,"0.0011603832244873047,0.002706766128540039","0.006597995758056641,0.014693737030029297"
0.015173196792602539,"0.0027005672454833984,0.0014324188232421875","0.014964818954467773,0.006554603576660156"
0.0066225528717041016,"0.0028922557830810547,0.002882242202758789","0.006487369537353516,0.006517887115478516"
0.015495777130126953,"0.002700328826904297,0.0012085437774658203","0.006525754928588867,0.006545543670654297"
0.00669550895690918,"0.0028944015502929688,0.002742767333984375","0.014782905578613281,0.014825582504272461"
0.006556987762451172,"0.0028100013732910156,0.002392292022705078","0.015048503875732422,0.01175546646118164"
0.006665229797363281,"0.0012612342834472656,0.0013394355773925781","0.006506204605102539,0.006683826446533203"
0.006764888763427734,"0.0013957023620605469,0.0015010833740234375","0.014802217483520508,0.00657963752746582"
0.01534724235534668,"0.0027570724487304688,0.0026810169219970703","0.0066471099853515625,0.006651878356933594"
0.006753683090209961,0.0014595985412597656,0.015651941299438477
0.006693601608276367,0.0013537406921386719,0.014934301376342773
0.013440370559692383,0.0026197433471679688,0.0066051483154296875
0.006707668304443359,0.0013480186462402344,0.01493525505065918
0.006676912307739258,"0.0013575553894042969,0.002228975296020508","0.006623268127441406,0.012712478637695312"
0.006647586822509766,0.0011839866638183594,0.006678342819213867
0.00668644905090332,"0.0012047290802001953,0.0027942657470703125","0.008990049362182617,0.006609439849853516"
0.015263557434082031,"0.0027475357055664062,0.002861499786376953","0.006619691848754883,0.00678706169128418"
0.00678253173828125,"0.0013093948364257812,0.002608060836791992","0.006554365158081055,0.0066301822662353516"
0.01523280143737793,"0.0027103424072265625,0.0013535022735595703","0.006614208221435547,0.0065615177154541016"
0.00661468505859375,"0.002761363983154297,0.0012600421905517578","0.006531238555908203,0.006798744201660156"
0.006592988967895508,"0.002801179885864258,0.0012965202331542969","0.006570577621459961,0.006742238998413086"
0.01519322395324707,,
0.012855768203735352,"0.0013692378997802734,0.0012462139129638672","0.006595611572265625,0.006631374359130859"
0.006759166717529297,"0.0014696121215820312,0.001346588134765625","0.00659632682800293,0.006552457809448242"
0.006807804107666016,,
0.0066602230072021484,0.0011534690856933594,0.006617546081542969
0.006968021392822266,"0.0012695789337158203,0.0012493133544921875","0.014901161193847656,0.014935731887817383"
0.016057968139648438,"0.0030002593994140625,0.002575397491455078","0.015043020248413086,0.006520748138427734"
0.006898641586303711,0.002989053726196289,0.006577014923095703
0.006710529327392578,0.0011606216430664062,0.014980077743530273
0.015259027481079102,"0.0014488697052001953,0.0026171207427978516","0.006581783294677734,0.006567955017089844"
0.006586790084838867,"0.0016522407531738281,0.001233816146850586","0.006618022918701172,0.00678253173828125"
0.015268564224243164,0.0014576911926269531,0.006525278091430664
0.014572858810424805,"0.0023660659790039062,0.003131389617919922","0.00666046142578125,0.006510257720947266"
0.015169382095336914,0.0027761459350585938,0.006597757339477539
0.015129804611206055,0.0028166770935058594,0.014800786972045898
0.006635427474975586,"0.0012745857238769531,0.0013556480407714844","0.006560325622558594,0.006593227386474609"
0.006654977798461914,"0.0012853145599365234,0.001375436782836914","0.006591796875,0.015220165252685547"
0.00657343864440918,"0.0014388561248779297,0.0012404918670654297","0.006746768951416016,0.006762504577636719"
0.015123367309570312,,
0.015178680419921875,"0.0013475418090820312,0.002729177474975586","0.006598949432373047,0.006636619567871094"
0.01511073112487793,0.002804994583129883,0.006587982177734375
0.015064239501953125,0.001375436782836914,0.0068814754486083984
