Times CreateTxGen,Times VerifyTx,Times TxResponse
0.008026123046875,"0.0013263225555419922,0.001352071762084961","0.015993595123291016,0.0066683292388916016"
0.006718158721923828,"0.002956390380859375,0.0028753280639648438","0.006772279739379883,0.014718770980834961"
0.006711483001708984,"0.0011630058288574219,0.002895355224609375","0.006677389144897461,0.012960433959960938"
0.00658869743347168,"0.0014336109161376953,0.001447439193725586","0.014909505844116211,0.0065860748291015625"
0.015173196792602539,0.0013613700866699219,0.014741659164428711
0.006658077239990234,0.00130462646484375,0.014705657958984375
0.006609916687011719,"0.0013051033020019531,0.0014712810516357422","0.006619930267333984,0.006516933441162109"
0.015505552291870117,"0.0028638839721679688,0.0013751983642578125","0.006651163101196289,0.006534099578857422"
0.006654500961303711,0.0012593269348144531,0.006541728973388672
0.00667572021484375,"0.0011680126190185547,0.001352071762084961","0.006617546081542969,0.006601572036743164"
