Times CreateTxGen,Times VerifyTx,Times TxResponse
0.009551763534545898,"0.0014638900756835938,0.001252889633178711","0.007140159606933594,0.006595611572265625"
0.014701128005981445,"0.002130746841430664,0.0010557174682617188","0.006659269332885742,0.006608009338378906"
0.006646871566772461,"0.0012950897216796875,0.0026547908782958984","0.006550312042236328,0.0065653324127197266"
0.006628990173339844,"0.0013170242309570312,0.0012404918670654297","0.00662541389465332,0.006445407867431641"
0.00669097900390625,0.0013914108276367188,0.006586313247680664
0.015081405639648438,"0.002841949462890625,0.0026297569274902344","0.014844655990600586,0.006562948226928711"
0.0069272518157958984,"0.0014183521270751953,0.0028531551361083984","0.0064961910247802734,0.0065920352935791016"
0.006944179534912109,"0.003044605255126953,0.0012569427490234375","0.006582736968994141,0.006630659103393555"
0.00670933723449707,0.00299072265625,0.015195608139038086
0.006661891937255859,"0.0013613700866699219,0.0026929378509521484","0.0067729949951171875,0.006532430648803711"
0.015103578567504883,"0.0014476776123046875,0.0029277801513671875","0.006753206253051758,0.006844282150268555"
0.015206098556518555,"0.0013632774353027344,0.0011086463928222656","0.006611824035644531,0.0065898895263671875"
0.006713151931762695,"0.0013802051544189453,0.0012831687927246094","0.006571769714355469,0.0065042972564697266"
0.013089656829833984,"0.0023581981658935547,0.0014195442199707031","0.013062477111816406,0.00652003288269043"
0.00670933723449707,"0.0012676715850830078,0.0012366771697998047","0.006563901901245117,0.00808572769165039"
0.014971256256103516,"0.001390218734741211,0.001356363296508789","0.006728649139404297,0.014563798904418945"
0.00668787956237793,"0.0012662410736083984,0.0013740062713623047","0.014948129653930664,0.0066034793853759766"
0.006607532501220703,"0.00138092041015625,0.0026748180389404297","0.006590127944946289,0.006578683853149414"
0.0066792964935302734,"0.0014612674713134766,0.0013568401336669922","0.0064525604248046875,0.006570100784301758"
0.006670475006103516,"0.0013585090637207031,0.002599954605102539","0.006637096405029297,0.006756305694580078"
0.006571292877197266,"0.0013022422790527344,0.0028409957885742188","0.006519794464111328,0.006621122360229492"
0.006594657897949219,"0.0014483928680419922,0.0026674270629882812","0.006654500961303711,0.006634950637817383"
0.014879703521728516,0.0013642311096191406,0.006504535675048828
0.0066754817962646484,0.0013728141784667969,0.006665945053100586
0.006701231002807617,0.0028772354125976562,0.00658869743347168
0.015146970748901367,"0.0028467178344726562,0.0012493133544921875","0.0064983367919921875,0.006587982177734375"
0.0066754817962646484,"0.00138092041015625,0.0013513565063476562","0.006513118743896484,0.014706850051879883"
0.015054941177368164,"0.002825021743774414,0.0012018680572509766","0.006801128387451172,0.006617069244384766"
0.0066776275634765625,"0.0013928413391113281,0.00135040283203125","0.006604433059692383,0.014900684356689453"
0.006691455841064453,0.0013647079467773438,0.006497859954833984
0.006667137145996094,0.0013804435729980469,0.0065593719482421875
0.006642580032348633,"0.0011756420135498047,0.001399993896484375","0.006615877151489258,0.006604433059692383"
0.0066568851470947266,"0.0011572837829589844,0.001363992691040039","0.0066187381744384766,0.006497859954833984"
0.006607532501220703,"0.0013005733489990234,0.0025284290313720703","0.006538867950439453,0.00659632682800293"
0.015186786651611328,"0.0014510154724121094,0.0014224052429199219","0.014835119247436523,0.0065250396728515625"
0.006780862808227539,"0.0015170574188232422,0.0012362003326416016","0.006526947021484375,0.006661891937255859"
0.006665468215942383,"0.0027506351470947266,0.001253366470336914","0.014844894409179688,0.0066070556640625"
0.00892019271850586,"0.00135040283203125,0.0022211074829101562","0.014827251434326172,0.0065686702728271484"
0.006669759750366211,"0.00127410888671875,0.0013720989227294922","0.006623983383178711,0.00681304931640625"
0.00666356086730957,"0.0013821125030517578,0.0013976097106933594","0.0065822601318359375,0.006512880325317383"
0.0066378116607666016,"0.0013418197631835938,0.0024573802947998047","0.01463770866394043,0.006535768508911133"
0.006630897521972656,0.0013575553894042969,0.006500720977783203
0.0065877437591552734,"0.0014023780822753906,0.001257181167602539","0.006468534469604492,0.006609678268432617"
0.00664520263671875,0.0013632774353027344,0.006727933883666992
0.006637096405029297,"0.0013010501861572266,0.001251220703125","0.006502389907836914,0.014929056167602539"
0.006682634353637695,"0.001268148422241211,0.001344919204711914","0.006582498550415039,0.006577968597412109"
0.006608009338378906,"0.00127410888671875,0.0027310848236083984","0.009025335311889648,0.006544828414916992"
0.01504826545715332,"0.0028307437896728516,0.0014491081237792969","0.00648045539855957,0.006494283676147461"
0.006676197052001953,0.001215219497680664,0.0064678192138671875
0.0066831111907958984,"0.0024526119232177734,0.0013630390167236328","0.006552457809448242,0.006564140319824219"
0.0068166255950927734,0.0013659000396728516,0.006634950637817383
0.0067729949951171875,"0.0029015541076660156,0.0013539791107177734","0.014787435531616211,0.0065021514892578125"
0.006639957427978516,"0.001262664794921875,0.0011515617370605469","0.006589174270629883,0.006445884704589844"
0.006647348403930664,,
0.006670713424682617,"0.0014650821685791016,0.0012090206146240234","0.006554841995239258,0.0065021514892578125"
0.006677389144897461,"0.001163482666015625,0.0012409687042236328","0.006472587585449219,0.0066301822662353516"
0.006683826446533203,"0.001271963119506836,0.0027129650115966797","0.007050037384033203,0.00656437873840332"
0.00673985481262207,"0.0014486312866210938,0.0013074874877929688","0.014749288558959961,0.0065419673919677734"
0.006640195846557617,"0.001425027847290039,0.0028128623962402344","0.006542205810546875,0.014939546585083008"
0.006704807281494141,"0.0012748241424560547,0.0014338493347167969","0.006873130798339844,0.01483011245727539"
0.014984130859375,"0.0014307498931884766,0.0021114349365234375","0.006529808044433594,0.014769792556762695"
0.006596803665161133,0.001373291015625,0.00656437873840332
0.015079498291015625,"0.002822399139404297,0.0011005401611328125","0.015083789825439453,0.006575345993041992"
0.006665229797363281,"0.002866029739379883,0.002620220184326172","0.014977455139160156,0.014786720275878906"
0.006673574447631836,"0.001283884048461914,0.0013484954833984375","0.0065765380859375,0.00654149055480957"
0.006685495376586914,0.00146484375,0.006619453430175781
0.006643056869506836,0.001348733901977539,0.00648951530456543
0.006666660308837891,0.0012731552124023438,0.006590843200683594
0.006655693054199219,"0.0012865066528320312,0.0014259815216064453","0.0065419673919677734,0.0064508914947509766"
0.015032291412353516,0.002832174301147461,0.014938831329345703
0.015156984329223633,"0.0027625560760498047,0.0013957023620605469","0.00673985481262207,0.006675243377685547"
0.006712198257446289,0.0028395652770996094,0.014920949935913086
0.0066568851470947266,"0.0013985633850097656,0.003210306167602539","0.011213302612304688,0.015012025833129883"
0.006609678268432617,"0.001306295394897461,0.0012440681457519531","0.0065767765045166016,0.014911651611328125"
0.015245199203491211,"0.0013575553894042969,0.0014495849609375","0.015054702758789062,0.006714582443237305"
0.01505899429321289,"0.0028352737426757812,0.0014259815216064453","0.0072536468505859375,0.00674748420715332"
0.006672382354736328,"0.0012955665588378906,0.001359701156616211","0.014837980270385742,0.0066034793853759766"
0.006648540496826172,"0.0012121200561523438,0.0029091835021972656","0.014989852905273438,0.012683868408203125"
0.006696462631225586,"0.0011661052703857422,0.0012011528015136719","0.006498813629150391,0.014925479888916016"
0.006556034088134766,0.001359701156616211,0.006556987762451172
0.006650686264038086,"0.0027379989624023438,0.0012378692626953125","0.006622791290283203,0.0066525936126708984"
0.006645917892456055,"0.0013811588287353516,0.0014104843139648438","0.014770984649658203,0.006519794464111328"
0.0066564083099365234,0.0013017654418945312,0.006552219390869141
0.0067522525787353516,0.0011799335479736328,0.006505727767944336
0.015275239944458008,"0.002747774124145508,0.0011076927185058594","0.00664973258972168,0.006464481353759766"
0.00673222541809082,"0.002864837646484375,0.0013594627380371094","0.018157243728637695,0.006494283676147461"
0.006628990173339844,"0.0014662742614746094,0.0011348724365234375","0.006559848785400391,0.014966726303100586"
0.014923095703125,"0.0027430057525634766,0.0014510154724121094","0.006551265716552734,0.006531238555908203"
0.0066645145416259766,"0.0012607574462890625,0.0013604164123535156","0.006648063659667969,0.0066661834716796875"
0.009811162948608398,"0.002474069595336914,0.0014200210571289062","0.006516456604003906,0.006692409515380859"
0.015016555786132812,"0.002668142318725586,0.002675771713256836","0.006510257720947266,0.006607770919799805"
0.014945030212402344,"0.0013747215270996094,0.0011086463928222656","0.014789581298828125,0.0065729618072509766"
0.0067179203033447266,"0.001359701156616211,0.0028641223907470703","0.006611347198486328,0.006592512130737305"
0.014904499053955078,"0.0013799667358398438,0.0012309551239013672","0.006664276123046875,0.006567716598510742"
0.006584882736206055,"0.001283884048461914,0.00115203857421875","0.006502628326416016,0.006519317626953125"
0.01299285888671875,"0.002366304397583008,0.0012407302856445312","0.006521940231323242,0.006558418273925781"
0.006587982177734375,0.0012617111206054688,0.006685495376586914
0.006665468215942383,"0.001279592514038086,0.0014622211456298828","0.0065555572509765625,0.006623268127441406"
0.0067119598388671875,"0.0011720657348632812,0.0013561248779296875","0.006583452224731445,0.006521463394165039"
0.010449886322021484,"0.002082347869873047,0.001245737075805664","0.006615638732910156,0.0065724849700927734"
