Times CreateTxGen,Times VerifyTx,Times TxResponse
0.01899099349975586,0.0014023780822753906,0.007559061050415039
0.0067234039306640625,"0.0013141632080078125,0.0013742446899414062","0.006840705871582031,0.006539583206176758"
0.015048027038574219,0.0028722286224365234,0.006891012191772461
0.006743192672729492,"0.0012145042419433594,0.001148223876953125","0.006571531295776367,0.006594657897949219"
0.006606578826904297,0.001482248306274414,0.006575345993041992
0.0066070556640625,"0.0014653205871582031,0.0010695457458496094","0.006615400314331055,0.0066454410552978516"
0.015337705612182617,"0.0013699531555175781,0.002851247787475586","0.006674289703369141,0.0066988468170166016"
0.01496577262878418,"0.0028228759765625,0.0011439323425292969","0.0065898895263671875,0.009977102279663086"
0.006721973419189453,"0.0013661384582519531,0.002980947494506836","0.0069386959075927734,0.006644487380981445"
0.006609678268432617,,
0.006686210632324219,"0.001272439956665039,0.001374959945678711","0.00667262077331543,0.0069446563720703125"
0.01493072509765625,0.0013954639434814453,0.00659942626953125
0.00671696662902832,"0.0011837482452392578,0.002798795700073242","0.006566286087036133,0.0065419673919677734"
0.006599903106689453,0.0013725757598876953,0.0065004825592041016
0.006657123565673828,"0.0014493465423583984,0.002618074417114258","0.006509065628051758,0.006463289260864258"
0.007409334182739258,"0.0014302730560302734,0.001383066177368164","0.00706028938293457,0.0069162845611572266"
0.00669407844543457,"0.001474618911743164,0.0011134147644042969","0.00903177261352539,0.006640434265136719"
0.006697893142700195,"0.001268148422241211,0.002773284912109375","0.006634235382080078,0.006555795669555664"
0.006691455841064453,0.0011813640594482422,0.014866352081298828
0.0066645145416259766,"0.001318216323852539,0.00115203857421875","0.006613969802856445,0.006560802459716797"
0.007027387619018555,"0.001390218734741211,0.0013897418975830078","0.014843225479125977,0.006562471389770508"
0.006696939468383789,0.0014836788177490234,0.015037775039672852
0.01258397102355957,"0.0014541149139404297,0.0010933876037597656","0.006696462631225586,0.010205984115600586"
0.00778508186340332,"0.001771688461303711,0.0011725425720214844","0.014824390411376953,0.008965492248535156"
0.01499032974243164,"0.0027000904083251953,0.0013210773468017578","0.014867305755615234,0.006579160690307617"
0.00670623779296875,"0.0012867450714111328,0.0025234222412109375","0.015000104904174805,0.007925033569335938"
0.015251874923706055,"0.001369476318359375,0.0013568401336669922","0.015110254287719727,0.006814479827880859"
0.006817817687988281,"0.001283407211303711,0.0011909008026123047","0.015100717544555664,0.007219791412353516"
0.015008687973022461,"0.0013911724090576172,0.0012750625610351562","0.006589412689208984,0.006628751754760742"
0.006955623626708984,"0.0013189315795898438,0.0027670860290527344","0.006577014923095703,0.00662541389465332"
0.01618647575378418,"0.0014858245849609375,0.002604961395263672","0.006708621978759766,0.006709575653076172"
0.015045166015625,"0.0028274059295654297,0.0013222694396972656","0.006639242172241211,0.0065882205963134766"
0.014978408813476562,"0.001398324966430664,0.0013866424560546875","0.006543874740600586,0.0067005157470703125"
0.006730556488037109,0.00139617919921875,0.006587982177734375
0.006763458251953125,"0.0013720989227294922,0.0025892257690429688","0.015227079391479492,0.006575345993041992"
0.014452695846557617,"0.0013763904571533203,0.001108407974243164","0.006578207015991211,0.0065877437591552734"
0.006922721862792969,"0.0013747215270996094,0.0014879703521728516","0.0066149234771728516,0.006519317626953125"
0.006705760955810547,"0.0011916160583496094,0.0014586448669433594","0.015034675598144531,0.0152130126953125"
0.015244483947753906,"0.0014543533325195312,0.0014400482177734375","0.006516456604003906,0.006559133529663086"
0.006911277770996094,"0.0014293193817138672,0.0014319419860839844","0.00673675537109375,0.006552219390869141"
0.006738185882568359,"0.0012810230255126953,0.0012526512145996094","0.0067081451416015625,0.0065765380859375"
0.006680965423583984,"0.0012919902801513672,0.002389192581176758","0.006617307662963867,0.006566286087036133"
0.006870746612548828,"0.0013799667358398438,0.002872943878173828","0.006764411926269531,0.00712275505065918"
0.0066454410552978516,"0.0013909339904785156,0.0011615753173828125","0.006728172302246094,0.006576061248779297"
0.00674748420715332,"0.0012972354888916016,0.001277923583984375","0.006509304046630859,0.0066547393798828125"
0.006695985794067383,"0.0014684200286865234,0.0014510154724121094","0.01490020751953125,0.006542682647705078"
0.006747722625732422,"0.0012221336364746094,0.0012402534484863281","0.006633758544921875,0.006860017776489258"
0.014983892440795898,0.0013856887817382812,0.006814718246459961
0.006671428680419922,"0.001253366470336914,0.0013875961303710938","0.00658869743347168,0.006506681442260742"
0.0067310333251953125,"0.0013971328735351562,0.0011796951293945312","0.013827085494995117,0.0067403316497802734"
0.006726503372192383,"0.0011780261993408203,0.0011696815490722656","0.006703615188598633,0.006622314453125"
0.006664276123046875,"0.0013132095336914062,0.001270294189453125","0.006603240966796875,0.006665229797363281"
0.006681680679321289,"0.0022759437561035156,0.0026900768280029297","0.01484823226928711,0.006569623947143555"
0.006638526916503906,"0.0013566017150878906,0.0011472702026367188","0.00655364990234375,0.00788736343383789"
0.006659507751464844,"0.0013170242309570312,0.0013010501861572266","0.006640434265136719,0.0065615177154541016"
0.006615400314331055,"0.0014808177947998047,0.0013604164123535156","0.006564140319824219,0.0068666934967041016"
0.00667262077331543,"0.0012998580932617188,0.0012106895446777344","0.0064792633056640625,0.006539344787597656"
0.0065937042236328125,"0.0012478828430175781,0.001245260238647461","0.018991708755493164,0.0065348148345947266"
0.006629228591918945,"0.0014047622680664062,0.001378774642944336","0.009000778198242188,0.0066220760345458984"
0.007017374038696289,"0.0013706684112548828,0.0012331008911132812","0.0068531036376953125,0.006762981414794922"
0.006772518157958984,"0.0031299591064453125,0.0014452934265136719","0.006489992141723633,0.006700277328491211"
0.014960050582885742,"0.0013718605041503906,0.0013570785522460938","0.006615877151489258,0.006814718246459961"
0.00810861587524414,,
0.015520095825195312,"0.0015137195587158203,0.0013759136199951172","0.006512880325317383,0.008247613906860352"
0.00671076774597168,"0.001497030258178711,0.0015761852264404297","0.006506919860839844,0.0066492557525634766"
0.0067059993743896484,"0.0013375282287597656,0.0025780200958251953","0.006585359573364258,0.0067980289459228516"
0.006588935852050781,"0.0013446807861328125,0.001394033432006836","0.0065882205963134766,0.006609678268432617"
0.007105827331542969,"0.0012984275817871094,0.0013000965118408203","0.006498813629150391,0.006578683853149414"
0.006665229797363281,"0.001485586166381836,0.0014507770538330078","0.006593942642211914,0.011165857315063477"
0.006631612777709961,"0.0012810230255126953,0.0012671947479248047","0.0066106319427490234,0.014928102493286133"
0.006735086441040039,"0.0012743473052978516,0.0014617443084716797","0.014616727828979492,0.01479482650756836"
0.009485483169555664,0.0014390945434570312,0.006566047668457031
0.015536308288574219,"0.0027604103088378906,0.0012629032135009766","0.006526947021484375,0.006654977798461914"
0.01501154899597168,"0.002638101577758789,0.001222372055053711","0.00662994384765625,0.006639719009399414"
0.013028144836425781,"0.0013949871063232422,0.0012552738189697266","0.006590127944946289,0.006686687469482422"
0.014255523681640625,0.0014111995697021484,0.006597757339477539
0.006724834442138672,0.0013980865478515625,0.0065195560455322266
0.01503300666809082,"0.0028052330017089844,0.0020284652709960938","0.006669759750366211,0.014870405197143555"
0.006620168685913086,0.0013651847839355469,0.0067517757415771484
0.016232967376708984,0.0014510154724121094,0.006645679473876953
0.00675201416015625,"0.0013077259063720703,0.0013790130615234375","0.007109642028808594,0.0068509578704833984"
0.006710529327392578,0.0012869834899902344,0.006597757339477539
0.006731748580932617,"0.0011816024780273438,0.001226186752319336","0.006646156311035156,0.007083415985107422"
0.006851911544799805,"0.001409292221069336,0.001352548599243164","0.014887332916259766,0.006548166275024414"
0.015085697174072266,0.0028095245361328125,0.006615161895751953
0.006769895553588867,"0.0013670921325683594,0.0013484954833984375","0.00683140754699707,0.0066225528717041016"
0.006701469421386719,0.0014297962188720703,0.014391422271728516
0.006811618804931641,0.0014209747314453125,0.006655454635620117
0.015270709991455078,"0.002721548080444336,0.0028328895568847656","0.006957530975341797,0.006494998931884766"
0.0067288875579833984,"0.00128936767578125,0.002846956253051758","0.006575107574462891,0.006571292877197266"
0.00671076774597168,"0.0029571056365966797,0.001119852066040039","0.00658416748046875,0.0066242218017578125"
0.015185117721557617,"0.0014233589172363281,0.0014612674713134766","0.006589651107788086,0.006537675857543945"
0.015295028686523438,"0.0014677047729492188,0.0012595653533935547","0.006738901138305664,0.006659030914306641"
0.0065844058990478516,"0.001359701156616211,0.002767324447631836","0.0071451663970947266,0.006631135940551758"
0.015467643737792969,"0.0013709068298339844,0.0013666152954101562","0.01498270034790039,0.0065114498138427734"
0.00663447380065918,"0.002870798110961914,0.0014774799346923828","0.014754533767700195,0.010179758071899414"
0.014928817749023438,"0.002657175064086914,0.0012519359588623047","0.006794929504394531,0.00667119026184082"
0.011384725570678711,0.0013644695281982422,0.006646156311035156
0.006723642349243164,"0.0011894702911376953,0.0014562606811523438","0.014738082885742188,0.006615877151489258"
0.015076160430908203,0.0024194717407226562,0.006798267364501953
