Times CreateTxGen,Times VerifyTx,Times TxResponse
0.009003400802612305,"0.002961397171020508,0.0014429092407226562","0.01587963104248047,0.01499032974243164"
0.015219926834106445,"0.0013778209686279297,0.00104522705078125","0.015135049819946289,0.014967679977416992"
0.015079021453857422,"0.002773761749267578,0.0014433860778808594","0.006733417510986328,0.0065593719482421875"
0.006650209426879883,"0.0013997554779052734,0.0012440681457519531","0.006552934646606445,0.00661921501159668"
0.006727933883666992,"0.001257181167602539,0.0010426044464111328","0.006638765335083008,0.006518125534057617"
0.006664276123046875,,
0.0073010921478271484,0.0014274120330810547,0.006516456604003906
0.006758213043212891,"0.0013568401336669922,0.002831697463989258","0.006574869155883789,0.019614696502685547"
0.006603240966796875,0.002995014190673828,0.006634950637817383
0.006689786911010742,"0.001155853271484375,0.0013437271118164062","0.014932870864868164,0.006604194641113281"
0.0066912174224853516,"0.0012087821960449219,0.0013458728790283203","0.014924049377441406,0.006752729415893555"
0.00682520866394043,"0.0013773441314697266,0.0012385845184326172","0.006497383117675781,0.01505279541015625"
0.00677037239074707,"0.0013892650604248047,0.0012922286987304688","0.006552934646606445,0.006508588790893555"
0.015002012252807617,0.002958059310913086,0.01498103141784668
0.006726741790771484,0.0014297962188720703,0.014868021011352539
0.0069468021392822266,0.002750873565673828,0.0066416263580322266
0.006676912307739258,0.0013020038604736328,0.014742374420166016
0.006705522537231445,"0.0013275146484375,0.0012385845184326172","0.015136003494262695,0.01493072509765625"
0.006833314895629883,"0.0012660026550292969,0.0027451515197753906","0.006575345993041992,0.014943599700927734"
0.006657600402832031,"0.0014581680297851562,0.0028536319732666016","0.006568431854248047,0.0065538883209228516"
0.006693363189697266,"0.0012769699096679688,0.0026445388793945312","0.0066013336181640625,0.014861345291137695"
0.015169382095336914,"0.002718210220336914,0.0028383731842041016","0.006694316864013672,0.006681919097900391"
0.0066394805908203125,"0.0014262199401855469,0.0013742446899414062","0.015135526657104492,0.006663799285888672"
0.015182256698608398,"0.0014903545379638672,0.0029702186584472656","0.006638765335083008,0.006708860397338867"
0.01519012451171875,"0.0027511119842529297,0.001417398452758789","0.015058279037475586,0.006627798080444336"
0.006649494171142578,0.0013909339904785156,0.006574869155883789
0.015220880508422852,"0.0026569366455078125,0.0014514923095703125","0.006653308868408203,0.012828826904296875"
0.0066738128662109375,0.0013647079467773438,0.0065577030181884766
0.006747722625732422,0.0013608932495117188,0.006617307662963867
0.006665229797363281,0.0027551651000976562,0.01501154899597168
0.006623268127441406,"0.0013184547424316406,0.001432657241821289","0.0065610408782958984,0.006747007369995117"
0.006657123565673828,"0.0012958049774169922,0.0024204254150390625","0.006598949432373047,0.00666356086730957"
0.015056371688842773,"0.0013854503631591797,0.002696514129638672","0.006636857986450195,0.009006500244140625"
0.0152435302734375,"0.0014605522155761719,0.0012140274047851562","0.0066738128662109375,0.00657963752746582"
0.006759166717529297,"0.0012509822845458984,0.0013911724090576172","0.014890193939208984,0.014975309371948242"
0.006727933883666992,"0.0028710365295410156,0.0011534690856933594","0.016182899475097656,0.015154361724853516"
0.006756305694580078,"0.002901792526245117,0.0025458335876464844","0.006608009338378906,0.006676912307739258"
0.006623506546020508,"0.001447916030883789,0.0014586448669433594","0.015027999877929688,0.01502084732055664"
0.006687641143798828,0.0012850761413574219,0.015290260314941406
0.014892101287841797,"0.0013785362243652344,0.002836942672729492","0.00673365592956543,0.01515960693359375"
0.015129566192626953,0.0013523101806640625,0.015191793441772461
0.006707429885864258,"0.0013699531555175781,0.002681732177734375","0.0067408084869384766,0.006580829620361328"
0.014874458312988281,"0.0021147727966308594,0.0013759136199951172","0.0065386295318603516,0.015226602554321289"
0.0067446231842041016,"0.0011577606201171875,0.0026466846466064453","0.0065975189208984375,0.01504659652709961"
0.006718873977661133,"0.0012650489807128906,0.0011277198791503906","0.006639719009399414,0.00656580924987793"
0.007116079330444336,"0.001314401626586914,0.0013477802276611328","0.015012264251708984,0.006568431854248047"
0.006646871566772461,"0.0013840198516845703,0.0014150142669677734","0.006537437438964844,0.0066280364990234375"
0.006673097610473633,0.0013380050659179688,0.01502847671508789
0.006772041320800781,0.001257181167602539,0.014908313751220703
0.006758689880371094,0.001627206802368164,0.01494145393371582
0.01523900032043457,"0.0014421939849853516,0.00135040283203125","0.006624937057495117,0.00657200813293457"
0.0066356658935546875,"0.0013051033020019531,0.0010499954223632812","0.00658869743347168,0.006676673889160156"
0.0068395137786865234,"0.0013165473937988281,0.0013387203216552734","0.014535665512084961,0.01495814323425293"
0.00676274299621582,"0.0011713504791259766,0.0013394355773925781","0.014837026596069336,0.006534099578857422"
0.015288114547729492,"0.0013630390167236328,0.001255035400390625","0.006653785705566406,0.015057563781738281"
0.00672602653503418,0.001360177993774414,0.015008211135864258
0.006711244583129883,"0.0013132095336914062,0.001367807388305664","0.01511073112487793,0.006791353225708008"
0.006751060485839844,"0.0012638568878173828,0.0013537406921386719","0.013768434524536133,0.014945745468139648"
0.00677943229675293,0.0013604164123535156,0.0066070556640625
0.006585121154785156,"0.0013432502746582031,0.0028455257415771484","0.00652003288269043,0.0065724849700927734"
